i, x, y_cpp, y_a, y_b, y_c, diff_ab, diff_ac, diff_bc
 194,      0.17228729,      0.19075832,      0.19075832,      0.19075832,      0.19075832, 0, 0, 0, 
 195,      0.62208164,      0.57371265,      0.57371265,      0.57371271,      0.57371271, 1, 1, 0, 
 196,      0.96521008,      0.87665164,      0.87665164,      0.87665164,      0.87665164, 0, 0, 0, 
 197,      1.09518754,      1.09672546,      1.09672546,      1.09672546,      1.09672546, 0, 0, 0, 
 198,      1.19380224,      1.31426370,      1.31426370,      1.31426370,      1.31426370, 0, 0, 0, 
 199,      1.71835160,      1.53705621,      1.53705633,      1.53705621,      1.53705621, 1, 1, 0, 
 200,      1.64604044,      1.71002257,      1.71002257,      1.71002245,      1.71002245, 1, 1, 0, 
 201,      1.82823181,      1.84942651,      1.84942651,      1.84942651,      1.84942651, 0, 0, 0, 
 202,      2.10398245,      1.93922055,      1.93922055,      1.93922055,      1.93922055, 0, 0, 0, 
 203,      1.90299046,      1.92306674,      1.92306685,      1.92306674,      1.92306674, 1, 1, 0, 
 204,      1.83270442,      1.83839786,      1.83839774,      1.83839774,      1.83839774, 0, 0, 0, 
 205,      1.77614534,      1.73274088,      1.73274088,      1.73274076,      1.73274076, 1, 1, 0, 
 206,      1.59761167,      1.60808873,      1.60808885,      1.60808873,      1.60808873, 1, 1, 0, 
 207,      1.44272566,      1.49091554,      1.49091554,      1.49091554,      1.49091554, 0, 0, 0, 
 208,      1.43556213,      1.38175809,      1.38175809,      1.38175809,      1.38175809, 0, 0, 0, 
 209,      1.28945458,      1.20675290,      1.20675290,      1.20675302,      1.20675302, 1, 1, 0, 
 210,      0.96842432,      0.92753506,      0.92753506,      0.92753506,      0.92753506, 0, 0, 0, 
 211,      0.51264846,      0.62962228,      0.62962228,      0.62962234,      0.62962234, 1, 1, 0, 
 212,      0.38604015,      0.42151329,      0.42151329,      0.42151326,      0.42151326, 1, 1, 0, 
 213,      0.29075342,      0.29234624,      0.29234624,      0.29234624,      0.29234624, 0, 0, 0, 
